model,frame,molecule_index,species,n_atoms,atom_indices,formula_symbols,formal_charge_sum_e,dft_raw_iao_charge_sum_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e,centroid_x_A,centroid_y_A,centroid_z_A
polar1m,1,1,H3O,4,1 9 25 32,O H H H,1.0,2.5474390000000002,0.547439,0.7336694188423001,0.18623041884230007,0.18623041884230007,11.96521328,12.1532045125,10.711312912499999
polar1m,1,2,H2O,3,8 2 27,O H H,0.0,2.016642,0.01664199999999988,0.0025437064468999994,-0.01409829355309988,0.01409829355309988,10.035170720000002,10.97328295,10.32411861
polar1m,1,3,H2O,3,24 3 36,O H H,0.0,1.996236,-0.0037640000000001006,0.0096853002906,0.0134493002906001,0.0134493002906001,14.172167420000001,13.872557613333335,10.821101800000001
polar1m,1,4,H2O,3,4 18 35,O H H,0.0,2.031986,0.03198599999999996,0.0215782895684,-0.010407710431599958,0.010407710431599958,11.88464255,9.399682556666667,9.621688776666666
polar1m,1,5,H2O,3,5 20 33,O H H,0.0,1.9537259999999999,-0.04627400000000009,-0.0122670251876,0.034006974812400094,0.034006974812400094,14.203335690000001,9.544896586666667,9.640224393333332
polar1m,1,6,H2O,3,6 17 28,O H H,0.0,2.1112349999999998,0.11123499999999992,0.0642801299691,-0.04695487003089992,0.04695487003089992,10.98254154,11.519576923333332,13.544643893333335
polar1m,1,7,H2O,3,12 7 14,O H H,0.0,2.063062,0.0630619999999999,0.0214940365404,-0.0415679634595999,0.0415679634595999,15.096591316666666,15.850777566666666,9.881720796666668
polar1m,1,8,H2O,3,13 10 34,O H H,0.0,1.883738,-0.11626200000000003,-0.0432471930981,0.07301480690190004,0.07301480690190004,11.630121226666667,8.987640456666668,13.878847023333334
polar1m,1,9,HO,2,31 15,O H,-1.0,1.315909,-0.684091,-0.8357934579257,-0.15170245792570003,0.15170245792570003,11.957435065,6.9485434900000005,13.898292195
polar1m,1,10,H2O,3,30 16 29,O H H,0.0,2.075548,0.07554799999999989,0.030870910734,-0.04467708926599989,0.04467708926599989,13.837427023333333,12.569128196666668,13.48007079
polar1m,1,11,H2O,3,19 21 38,O H H,0.0,2.0086939999999998,0.008693999999999924,0.015044558793300002,0.006350558793300078,0.006350558793300078,13.151571323333334,9.150074066666667,12.55172813
polar1m,1,12,H2O,3,22 23 26,O H H,0.0,1.959216,-0.04078400000000004,-0.0170352160931,0.023748783906900044,0.023748783906900044,13.806746416666668,15.354182156666667,11.98771607
polar1m,2,0,H2O,3,11 0 40,O H H,0.0,2.05428,0.05428000000000005,0.0155995469541,-0.03868045304590005,0.03868045304590005,9.35567591,13.30924583,12.238374616666666
polar1m,2,1,H3O,4,1 9 28 35,O H H H,1.0,2.5826770000000003,0.5826770000000001,0.7108698673548,0.12819286735479984,0.12819286735479984,11.88073159,12.2766560025,10.712398932500001
polar1m,2,2,H2O,3,8 2 30,O H H,0.0,1.9794100000000001,-0.02058999999999994,-0.0104681961238,0.010121803876199941,0.010121803876199941,10.005421516666667,11.03300463,10.351382249999999
polar1m,2,3,H2O,3,27 3 39,O H H,0.0,1.9582549999999999,-0.04174500000000003,-0.0098951756954,0.03184982430460003,0.03184982430460003,14.146461763333335,13.991313020000002,10.800257173333334
polar1m,2,4,H2O,3,4 19 38,O H H,0.0,2.011387,0.011386999999999925,0.014215338975200002,0.0028283389752000766,0.0028283389752000766,11.809248363333333,9.559499703333335,9.617700483333335
polar1m,2,5,H2O,3,5 21 36,O H H,0.0,1.968659,-0.03134100000000001,-0.004966977983699997,0.02637402201630001,0.02637402201630001,14.097710919999999,9.63941706,9.67389284
polar1m,2,6,H2O,3,6 18 31,O H H,0.0,2.126353,0.12635299999999994,0.06917314976450001,-0.05717985023549993,0.05717985023549993,10.79575443,11.628627053333332,13.56039614
polar1m,2,7,H2O,3,12 7 14,O H H,0.0,2.084493,0.08449299999999998,0.034099953249199996,-0.05039304675079999,0.05039304675079999,15.031921076666668,15.972510763333332,9.82884644
