model,frame,atom_index,symbol,x_A,y_A,z_A,formal_charge_e,dft_raw_iao_charge_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e
polar1m,2,19,H,12.11261163,9.70102716,10.3659008,1.0,0.363575,0.363575,0.0230611525476,-0.3405138474524,0.3405138474524
polar1m,2,20,O,13.12286221,9.15313195,12.14350507,-2.0,1.233318,-0.7666820000000001,-0.0313295647502,0.7353524352498001,0.7353524352498001
polar1m,2,21,H,14.72813804,9.98057736,9.39454321,1.0,0.384074,0.384074,0.016777895391,-0.36729610460900003,0.36729610460900003
polar1m,2,22,H,15.85478777,13.07906163,12.77008554,1.0,0.42305,0.42305,0.020100992173,-0.402949007827,0.402949007827
polar1m,2,23,H,15.13320922,14.61404156,12.64754716,1.0,0.358469,0.358469,0.0153434276581,-0.3431255723419,0.3431255723419
polar1m,2,24,H,13.14598214,9.96973279,12.63119481,1.0,0.371174,0.371174,0.0152679979801,-0.3559060020199,0.3559060020199
polar1m,2,25,O,14.04102224,15.33985682,12.14504809,-2.0,1.258755,-0.7412449999999999,0.0127491801977,0.7539941801976999,0.7539941801976999
polar1m,2,26,H,13.43151805,15.98154056,12.5361567,1.0,0.43047,0.43047,0.0272347498685,-0.4032352501315,0.4032352501315
polar1m,2,27,O,14.09799325,13.75944067,10.49853811,-2.0,1.215409,-0.784591,-0.0544677786529,0.7301232213471001,0.7301232213471001
polar1m,2,28,H,12.39792862,12.8799863,10.63417058,1.0,0.404263,0.404263,0.0206402316689,-0.3836227683311,0.3836227683311
polar1m,2,29,H,13.60550219,14.96662826,11.51834302,1.0,0.42335,0.42335,0.0256536193192,-0.3976963806808,0.3976963806808
polar1m,2,30,H,10.1783339,10.87809722,11.1072205,1.0,0.37242,0.37242,0.0198403559625,-0.3525796440375,0.3525796440375
polar1m,2,31,H,11.10445322,10.9279191,13.98225949,1.0,0.427857,0.427857,0.025816835463,-0.402040164537,0.402040164537
polar1m,2,32,H,12.92503252,12.40369845,13.42823168,1.0,0.354792,0.354792,0.0195726156235,-0.3352193843765,0.3352193843765
polar1m,2,33,O,13.85293198,12.62933778,13.10596558,-2.0,1.25543,-0.74457,-0.01705429703,0.7275157029699999,0.7275157029699999
polar1m,2,34,O,12.22608749,6.95010735,14.18293729,-2.0,1.042933,-0.9570669999999999,-0.818647861481,0.1384191385189999,0.1384191385189999
polar1m,2,35,H,12.0,12.0,12.0,1.0,0.367018,0.367018,0.30784162879,-0.05917637121000002,0.05917637121000002
polar1m,2,36,H,13.55343108,9.6793057,10.26251886,1.0,0.327996,0.327996,0.0190998092294,-0.3088961907706,0.3088961907706
polar1m,2,37,H,11.68164133,8.31660084,14.33360932,1.0,0.364821,0.364821,0.0132232271135,-0.3515977728865,0.3515977728865
polar1m,2,38,H,11.79175971,9.20703195,8.92847873,1.0,0.455415,0.455415,0.0244120210409,-0.4310029789591,0.4310029789591
polar1m,2,39,H,14.32397755,14.69481816,10.46067996,1.0,0.373399,0.373399,0.0250378027558,-0.3483611972442,0.3483611972442
polar1m,2,40,H,9.80215305,13.87920245,11.9880103,1.0,0.41874,0.41874,0.0152944568545,-0.4034455431455,0.4034455431455
polar1m,2,41,H,12.76350331,8.61179006,12.87070235,1.0,0.395292,0.395292,0.026953747496,-0.368338252504,0.368338252504
polar1m,3,0,H,8.87127667,13.01879536,12.90607139,1.0,0.350291,0.350291,0.0289411097765,-0.3213498902235,0.3213498902235
polar1m,3,1,O,11.80458031,12.24340955,10.52251282,-2.0,1.376721,-0.6232789999999999,0.312212258577,0.9354912585769999,0.9354912585769999
polar1m,3,2,H,9.967947,10.89346725,9.71535008,1.0,0.42119,0.42119,0.023226827383,-0.397963172617,0.397963172617
polar1m,3,3,H,14.12985056,13.59285436,11.43969158,1.0,0.383158,0.383158,0.0261136814952,-0.3570443185048,0.3570443185048
polar1m,3,4,O,11.43376193,9.87024532,9.5352812,-2.0,1.176941,-0.823059,-0.0224302187562,0.8006287812438,0.8006287812438
polar1m,3,5,O,10.76080281,11.62987832,13.39267545,-2.0,1.300225,-0.699775,0.00179100036621,0.7015660003662101,0.7015660003662101
polar1m,3,6,H,6.8876523,14.50428252,14.49463575,1.0,0.422337,0.422337,0.0204684399068,-0.40186856009320004,0.40186856009320004
polar1m,3,7,O,9.72477455,11.44277791,10.37772071,-2.0,1.227453,-0.7725470000000001,-0.0334924161434,0.7390545838566001,0.7390545838566001
polar1m,3,8,H,11.36070013,12.34675825,9.69091574,1.0,0.468263,0.468263,0.0313315838575,-0.4369314161425,0.4369314161425
polar1m,3,9,H,11.37327658,9.62370771,13.36726361,1.0,0.375939,0.375939,0.0172264426947,-0.35871255730530005,0.35871255730530005
polar1m,3,10,O,9.29586278,13.15218392,12.02236563,-2.0,1.294039,-0.7059610000000001,-0.107841029763,0.598119970237,0.598119970237
polar1m,3,11,O,11.40831243,9.38544438,14.21209105,-2.0,1.118123,-0.881877,-0.171869531274,0.7100074687260001,0.7100074687260001
polar1m,3,12,H,8.01102367,14.12044712,13.23466235,1.0,0.318046,0.318046,0.0177186653018,-0.3003273346982,0.3003273346982
polar1m,3,13,H,16.93299654,13.38506936,9.09749796,1.0,0.422714,0.422714,0.0310199894011,-0.39169401059889997,0.39169401059889997
polar1m,3,14,H,11.43853194,6.96964711,13.50305277,1.0,0.311365,0.311365,0.0186753645539,-0.2926896354461,0.2926896354461
polar1m,3,15,O,15.95046983,14.06357636,12.90044711,-2.0,1.15,-0.8500000000000001,-0.127714544535,0.7222854554650001,0.7222854554650001
polar1m,3,16,H,14.13336173,12.90380024,14.0490535,1.0,0.444948,0.444948,0.0282420665026,-0.41670593349740004,0.41670593349740004
polar1m,3,17,H,10.3482994,12.50417358,13.47604737,1.0,0.375551,0.375551,0.0154112279415,-0.3601397720585,0.3601397720585
polar1m,3,18,H,11.99058508,9.84884242,10.28274557,1.0,0.407735,0.407735,0.0204029791057,-0.3873320208943,0.3873320208943
polar1m,3,19,O,13.0555327,9.21949519,12.15079416,-2.0,1.244862,-0.7551380000000001,-0.0487360954285,0.7064019045715001,0.7064019045715001
polar1m,3,20,H,10.74018463,15.83874917,12.58935126,1.0,0.472785,0.472785,0.0270763970912,-0.4457086029088,0.4457086029088
polar1m,3,21,H,15.71345501,13.13054843,12.7609647,1.0,0.371498,0.371498,0.0205899439752,-0.3509080560248,0.3509080560248
polar1m,3,22,H,15.07521434,14.6104422,12.41609447,1.0,0.320827,0.320827,0.0167692005634,-0.3040577994366,0.3040577994366
polar1m,3,23,H,13.0219566,10.10772182,12.65377979,1.0,0.330372,0.330372,0.0161017253995,-0.3142702746005,0.3142702746005
polar1m,3,24,O,14.0057308,15.43272171,12.16931306,-2.0,1.345223,-0.6547769999999999,0.0409171059728,0.6956941059727999,0.6956941059727999
polar1m,3,25,H,15.95429849,12.60938869,10.50215823,1.0,0.369113,0.369113,0.0120283812284,-0.3570846187716,0.3570846187716
polar1m,3,26,H,13.25243501,16.03382443,12.65234262,1.0,0.370166,0.370166,0.0276226103306,-0.3425433896694,0.3425433896694
polar1m,3,27,O,14.05867465,13.89521357,10.54905621,-2.0,1.279297,-0.7207030000000001,-0.0285739898682,0.6921290101318001,0.6921290101318001
polar1m,3,28,H,10.71602863,14.95060557,13.61015161,1.0,0.422483,0.422483,0.0338877849281,-0.3885952150719,0.3885952150719
polar1m,3,29,O,9.49294295,13.92802242,9.6635465,-2.0,1.149857,-0.8501430000000001,-0.109740160406,0.7404028395940001,0.7404028395940001
polar1m,3,30,H,12.18875513,13.15202727,10.69982806,1.0,0.376012,0.376012,0.0226969793439,-0.3533150206561,0.3533150206561
polar1m,3,31,H,9.79772433,13.17239583,10.49157384,1.0,0.343771,0.343771,0.0241212174296,-0.3196497825704,0.3196497825704
polar1m,3,32,O,16.58536979,13.54007056,10.01728348,-2.0,1.336778,-0.663222,0.107950754464,0.771172754464,0.771172754464
polar1m,3,33,O,10.87229187,14.9650445,12.59746387,-2.0,1.300708,-0.699292,0.0833645835519,0.7826565835519,0.7826565835519
polar1m,3,34,H,13.32098238,15.05296694,11.54445635,1.0,0.375488,0.375488,0.0234888866544,-0.35199911334559997,0.35199911334559997
polar1m,3,35,H,10.22860456,10.95994971,11.10663187,1.0,0.364857,0.364857,0.0234479531646,-0.34140904683539997,0.34140904683539997
polar1m,3,36,O,7.05920379,14.59434955,13.55212399,-2.0,1.222468,-0.7775319999999999,-0.0437099672854,0.7338220327145999,0.7338220327145999
polar1m,3,37,H,10.87172233,10.9921326,14.12195476,1.0,0.410945,0.410945,0.0263570807874,-0.3845879192126,0.3845879192126
polar1m,3,38,O,15.74684826,11.63341162,10.84132114,-2.0,1.096337,-0.9036630000000001,-0.188238069415,0.7154249305850001,0.7154249305850001
polar1m,3,39,H,12.90135757,12.61791199,13.33563082,1.0,0.35011,0.35011,0.0161505378783,-0.33395946212169997,0.33395946212169997
polar1m,3,40,O,13.86735394,12.67058084,13.15438175,-2.0,1.254415,-0.7455849999999999,-0.00985366106033,0.7357313389396699,0.7357313389396699
polar1m,3,41,O,12.14915509,7.0766303,14.23072943,-2.0,1.09382,-0.90618,-0.735565006733,0.17061499326700003,0.17061499326700003
polar1m,3,42,H,12.0,12.0,12.0,1.0,0.398622,0.398622,0.324718028307,-0.073903971693,0.073903971693
polar1m,3,43,H,9.43236027,14.8953067,9.75779855,1.0,0.389059,0.389059,0.0149838719517,-0.3740751280483,0.3740751280483
polar1m,3,44,H,15.85896139,14.10373554,9.80929743,1.0,0.399924,0.399924,0.0230430066586,-0.3768809933414,0.3768809933414
polar1m,3,45,H,11.60110058,8.3060142,14.42001199,1.0,0.352422,0.352422,0.0154938548803,-0.33692814511970004,0.33692814511970004
polar1m,3,46,H,11.90915585,9.32139551,8.919727,1.0,0.435677,0.435677,0.0245161317289,-0.4111608682711,0.4111608682711
polar1m,3,47,H,14.8356913,11.74056842,11.06575955,1.0,0.351784,0.351784,0.0126366689801,-0.33914733101989997,0.33914733101989997
polar1m,3,48,H,14.28886614,14.85526954,10.43191809,1.0,0.402831,0.402831,0.0313489511609,-0.37148204883909997,0.37148204883909997
polar1m,3,49,H,9.88503292,14.17363269,12.06111652,1.0,0.335977,0.335977,0.0402691811323,-0.29570781886770003,0.29570781886770003
polar1m,3,50,H,12.68409779,8.70181726,12.92729161,1.0,0.386473,0.386473,0.0254022274166,-0.36107077258340003,0.36107077258340003
