model,frame,instance_index,local_frame,molecule_index,species,n_atoms,atom_indices,oxygen_atom_index,hydrogen_atom_indices,molecule_track_id,formula_symbols,formal_charge_sum_e,dft_raw_iao_charge_sum_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e,centroid_x_A,centroid_y_A,centroid_z_A
polar1s,1,0,1,6,H2O,3,6 17 28,6,17 28,O:6,O H H,0.0,2.1112349999999998,0.11123499999999992,0.06819202005800001,-0.043042979941999904,0.043042979941999904,10.98254154,11.519576923333332,13.544643893333335
polar1s,1,0,1,7,H2O,3,12 7 14,12,7 14,O:12,O H H,0.0,2.063062,0.0630619999999999,0.06286746263500001,-0.00019453736499988605,0.00019453736499988605,15.096591316666666,15.850777566666666,9.881720796666668
polar1s,1,0,1,8,H2O,3,13 10 34,13,10 34,O:13,O H H,0.0,1.883738,-0.11626200000000003,-0.094303622842,0.02195837715800003,0.02195837715800003,11.630121226666667,8.987640456666668,13.878847023333334
polar1s,1,0,1,9,HO,2,31 15,31,15,O:31,O H,-1.0,1.315909,-0.684091,-0.5762619972230001,0.10782900277699992,0.10782900277699992,11.957435065,6.9485434900000005,13.898292195
polar1s,1,0,1,10,H2O,3,30 16 29,30,16 29,O:30,O H H,0.0,2.075548,0.07554799999999989,0.09296096861299999,0.017412968613000096,0.017412968613000096,13.837427023333333,12.569128196666668,13.48007079
polar1s,1,0,1,11,H2O,3,19 21 38,19,21 38,O:19,O H H,0.0,2.0086939999999998,0.008693999999999924,0.05501157045299998,0.046317570453000056,0.046317570453000056,13.151571323333334,9.150074066666667,12.55172813
polar1s,1,0,1,12,H2O,3,22 23 26,22,23 26,O:22,O H H,0.0,1.959216,-0.04078400000000004,-0.017331391572999982,0.02345260842700006,0.02345260842700006,13.806746416666668,15.354182156666667,11.98771607
polar1s,2,0,2,0,H2O,3,11 0 40,11,0 40,O:11,O H H,0.0,2.05428,0.05428000000000005,0.06411415338500004,0.009834153384999988,0.009834153384999988,9.35567591,13.30924583,12.238374616666666
polar1s,2,0,2,1,H3O,4,1 9 28 35,1,9 28 35,O:1,O H H H,1.0,2.582677,0.5826770000000001,0.340909853577,-0.24176714642300012,0.24176714642300012,11.88073159,12.2766560025,10.712398932500001
polar1s,2,0,2,2,H2O,3,8 2 30,8,2 30,O:8,O H H,0.0,1.9794100000000001,-0.02058999999999994,-0.021893933414999955,-0.0013039334150000137,0.0013039334150000137,10.005421516666667,11.03300463,10.351382249999999
