frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
31,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29110.4433594,-693.105794271,9.21237160315,3.81542780733,0,4.09781932831e-08,ok,
32,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24947.9492188,-692.99858941,11.5022684898,3.90490798449,0,5.58793544769e-09,ok,
33,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22871.9648438,-693.08984375,7.54188660917,3.60541468676,0,-9.31322574615e-09,ok,
34,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22874.2128906,-693.157966383,7.43314436911,3.3597059242,0,-1.86264514923e-09,ok,
35,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27031.2695312,-693.10947516,6.99215102157,3.46197262168,0,1.30385160446e-08,ok,
36,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31188.8867188,-693.086371528,11.989997379,3.91999723748,0,-9.31322574615e-08,ok,
37,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24951.3867188,-693.094075521,9.59696397146,3.5565113937,0,-1.86264514923e-09,ok,
38,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31187.8476562,-693.06328125,6.40316204462,3.21551403971,0,-4.09781932831e-08,ok,
39,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22868.7675781,-692.992956913,10.1713534216,4.13819927815,0,-9.12696123123e-08,ok,
40,polar1m,polar-1-m,polar,cuda,float32,62,H42O20,-41609.0429688,-671.11359627,11.6813488381,3.82066022164,2,2.32830643654e-07,ok,
41,polar1m,polar-1-m,polar,cuda,float32,61,H41O20,-41592.8945312,-681.85073002,10.3262012839,3.84775078127,1,9.685754776e-08,ok,
42,polar1m,polar-1-m,polar,cuda,float32,43,H29O14,-29117.90625,-677.160610465,9.62076948399,4.37690981451,1,7.82310962677e-08,ok,
43,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24962.2226562,-674.654666385,9.85371324137,4.13362329372,1,8.00937414169e-08,ok,
44,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22882.2988281,-673.008789062,11.5213956104,4.92857609387,1,-5.58793544769e-08,ok,
45,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27039.3457031,-675.983642578,8.09113224776,3.81440342449,1,-2.79396772385e-08,ok,
46,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37419.8125,-692.959490741,7.80155635116,3.48129322485,0,-6.33299350739e-08,ok,
47,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24961.2539062,-674.628483953,8.76382341854,4.00156121483,1,-4.65661287308e-08,ok,
48,polar1m,polar-1-m,polar,cuda,float32,46,H31O15,-31202.3457031,-678.311863111,8.37038082035,3.77907807945,1,1.86264514923e-09,ok,
49,polar1m,polar-1-m,polar,cuda,float32,56,H38O18,-37452.4648438,-668.794015067,6.60650326421,3.57130794665,2,-4.09781932831e-08,ok,
