frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
54,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22870.5058594,-693.045632102,7.42207112986,3.85414069379,0,-4.47034835815e-08,ok,
55,polar1s,polar-1-s,polar,cuda,float32,22,H15O7,-14570.1455078,-662.279341264,6.03800019857,3.02899042809,1,2.08616256714e-07,ok,
56,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22886.6230469,-673.135971967,10.8182427846,4.36102390699,1,2.08616256714e-07,ok,
57,polar1s,polar-1-s,polar,cuda,float32,49,H33O16,-33283.0078125,-679.245057398,6.84534311043,3.29483671521,1,-2.98023223877e-07,ok,
58,polar1s,polar-1-s,polar,cuda,float32,46,H31O15,-31202.2890625,-678.310631793,7.8210968964,4.07429860616,1,1.63912773132e-07,ok,
59,polar1s,polar-1-s,polar,cuda,float32,46,H31O15,-31202.2050781,-678.308806046,10.7631357687,4.03642980667,1,1.63912773132e-07,ok,
60,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27043.0078125,-676.075195312,9.80709150769,3.70892877931,1,3.12924385071e-07,ok,
61,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22888.0546875,-673.178079044,7.30629344028,3.36438437989,1,7.45058059692e-08,ok,
62,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20806.0195312,-671.161920363,16.2036433106,6.05297032969,1,1.9371509552e-07,ok,
63,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27044.875,-676.121875,5.97763537087,3.20651382287,1,-1.9371509552e-07,ok,
64,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24966.3945312,-674.767419764,7.76967346109,3.32750192393,1,-1.34110450745e-07,ok,
65,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18727.7480469,-668.848144531,12.9332882669,5.26950065316,1,-1.63912773132e-07,ok,
66,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18727.0800781,-668.824288504,13.6599966135,5.16908523418,1,-2.08616256714e-07,ok,
67,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22886.515625,-673.1328125,12.2598604872,4.04864819804,1,-2.98023223877e-08,ok,
68,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22887.296875,-673.155790441,5.69197293397,3.30495900077,1,0,ok,
69,polar1s,polar-1-s,polar,cuda,float32,46,H31O15,-31202.8046875,-678.321841033,13.1241314843,4.01473291442,1,-5.96046447754e-08,ok,
70,polar1s,polar-1-s,polar,cuda,float32,30,H20O10,-20789.7636719,-692.992122396,10.3790400299,4.35300331936,0,-1.49011611938e-08,ok,
71,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22884.0664062,-673.060776654,7.40237704999,3.87333918573,1,-2.83122062683e-07,ok,
72,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20805.9550781,-671.15984123,6.84566192304,3.74174591663,1,2.53319740295e-07,ok,
73,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18728.8183594,-668.886369978,8.52582150058,3.41346679334,1,8.94069671631e-08,ok,
74,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18729.7617188,-668.920061384,7.19495833282,3.63960081053,1,1.49011611938e-08,ok,
75,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20808.2480469,-671.233807964,9.64001705625,4.08214623949,1,1.49011611938e-07,ok,
76,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22887.9179688,-673.174057904,5.6095979538,2.65592524182,1,-1.19209289551e-07,ok,
77,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27043.1835938,-676.079589844,8.48144941489,3.95085069929,1,2.98023223877e-07,ok,
78,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22885.4609375,-673.101792279,7.65090141501,3.97614788106,1,-2.68220901489e-07,ok,
79,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27044.0527344,-676.101318359,8.65307493538,4.50553841829,1,-1.34110450745e-07,ok,
80,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22885.1367188,-673.092256434,7.49318729145,3.86991599178,1,8.94069671631e-08,ok,
81,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22885.1015625,-673.091222426,8.09332358229,3.85404753728,1,-8.94069671631e-08,ok,
82,polar1s,polar-1-s,polar,cuda,float32,55,H37O18,-37441.8828125,-680.761505682,9.8708335376,3.48795277804,1,2.68220901489e-07,ok,
83,polar1s,polar-1-s,polar,cuda,float32,61,H41O20,-41597.7851562,-681.930904201,10.5287610613,4.26066334333,1,1.04308128357e-07,ok,
