frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
71,off,medium,off,cuda,float32,34,H23O11,-22898.7109375,-673.491498162,7.36223341058,4.03893760522,1,,ok,
72,off,medium,off,cuda,float32,31,H21O10,-20818.9707031,-671.579700101,7.98757016802,4.30378127434,1,,ok,
73,off,medium,off,cuda,float32,28,H19O9,-18741.4609375,-669.337890625,8.61637171152,3.43367224207,1,,ok,
74,off,medium,off,cuda,float32,28,H19O9,-18741.8574219,-669.352050781,7.44588899194,3.81377681229,1,,ok,
75,off,medium,off,cuda,float32,31,H21O10,-20821.7714844,-671.670047883,8.71764705861,4.05123717209,1,,ok,
76,off,medium,off,cuda,float32,34,H23O11,-22902.0527344,-673.589786305,5.81374878564,2.84064789911,1,,ok,
77,off,medium,off,cuda,float32,40,H27O13,-27059.6757812,-676.491894531,8.86897320138,4.03600385161,1,,ok,
78,off,medium,off,cuda,float32,34,H23O11,-22900.3828125,-673.540670956,7.83161197703,4.05620964809,1,,ok,
79,off,medium,off,cuda,float32,40,H27O13,-27060.8730469,-676.521826172,7.86914822546,4.39457369152,1,,ok,
80,off,medium,off,cuda,float32,34,H23O11,-22900.5410156,-673.545323989,7.10851497859,3.65312189533,1,,ok,
81,off,medium,off,cuda,float32,34,H23O11,-22899.9335938,-673.52745864,8.49245256249,4.06856288386,1,,ok,
82,off,medium,off,cuda,float32,55,H37O18,-37465.1171875,-681.183948864,9.91805079412,3.53139066042,1,,ok,
83,off,medium,off,cuda,float32,61,H41O20,-41623.6015625,-682.354123975,10.607959828,4.25182504583,1,,ok,
84,off,medium,off,cuda,float32,43,H29O14,-29141.6757812,-677.713390262,7.34638116046,3.54884484872,1,,ok,
85,off,medium,off,cuda,float32,37,H25O12,-24980.3183594,-675.143739443,10.2637431871,3.73169982459,1,,ok,
86,off,medium,off,cuda,float32,40,H27O13,-27061.2148438,-676.530371094,7.94150400459,3.96463207151,1,,ok,
87,off,medium,off,cuda,float32,28,H19O9,-18741.3632812,-669.334402902,6.7008616269,3.35532915709,1,,ok,
88,off,medium,off,cuda,float32,37,H25O12,-24981.96875,-675.188344595,5.78862913095,3.27953616231,1,,ok,
89,off,medium,off,cuda,float32,43,H29O14,-29142.7265625,-677.737827035,6.85581205536,3.39422682573,1,,ok,
90,off,medium,off,cuda,float32,31,H21O10,-20822.2988281,-671.687058972,6.16599595723,3.20105975736,1,,ok,
91,off,medium,off,cuda,float32,31,H21O10,-20822.1171875,-671.681199597,7.18930834019,3.57273661522,1,,ok,
92,off,medium,off,cuda,float32,28,H19O9,-18742.7304688,-669.383231027,5.97367264222,3.11259864375,1,,ok,
93,off,medium,off,cuda,float32,31,H21O10,-20822.5039062,-671.693674395,7.65499251703,3.52796778256,1,,ok,
94,off,medium,off,cuda,float32,34,H23O11,-22902.2460938,-673.595473346,13.3871626615,3.97939162841,1,,ok,
95,off,medium,off,cuda,float32,34,H23O11,-22902.8320312,-673.612706801,6.70024582972,3.025993001,1,,ok,
96,off,medium,off,cuda,float32,37,H25O12,-24985.65625,-675.288006757,5.75972616931,3.11021616896,1,,ok,
97,off,medium,off,cuda,float32,40,H27O13,-27066.1523438,-676.653808594,7.14009718849,3.16115514162,1,,ok,
98,off,medium,off,cuda,float32,28,H19O9,-18741.8710938,-669.352539062,10.5995552703,4.20617710528,1,,ok,
99,off,medium,off,cuda,float32,31,H21O10,-20823.5,-671.725806452,7.05488276996,3.32150492882,1,,ok,
100,off,medium,off,cuda,float32,44,H29O15,-31191.6386719,-708.900878906,10.8450063857,3.88979621069,-1,,ok,
101,off,medium,off,cuda,float32,44,H29O15,-31190.2070312,-708.868341619,10.006975418,3.38670277551,-1,,ok,
102,off,medium,off,cuda,float32,44,H29O15,-31188.2617188,-708.824129972,7.14265452741,3.70473717651,-1,,ok,
103,off,medium,off,cuda,float32,53,H35O18,-37432.5546875,-706.274616745,15.0940217405,4.24768255105,-1,,ok,
104,off,medium,off,cuda,float32,42,H28O14,-29126.203125,-693.481026786,8.63774125456,4.19786322601,0,,ok,
