frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
98,off,medium,off,cuda,float32,28,H19O9,-18741.8710938,-669.352539062,10.5995552809,4.20617707062,1,1,,ok,
99,off,medium,off,cuda,float32,31,H21O10,-20823.5,-671.725806452,7.05488243673,3.32150473228,1,1,,ok,
100,off,medium,off,cuda,float32,44,H29O15,-31191.6386719,-708.900878906,10.8450063857,3.88979603785,-1,-1,,ok,
101,off,medium,off,cuda,float32,44,H29O15,-31190.2070312,-708.868341619,10.0069748051,3.38670290847,-1,-1,,ok,
102,off,medium,off,cuda,float32,44,H29O15,-31188.2617188,-708.824129972,7.14265417559,3.70473726837,-1,-1,,ok,
103,off,medium,off,cuda,float32,53,H35O18,-37432.5546875,-706.274616745,15.0940212939,4.24768253003,-1,-1,,ok,
104,off,medium,off,cuda,float32,42,H28O14,-29126.203125,-693.481026786,8.63774134575,4.19786333381,0,0,,ok,
105,off,medium,off,cuda,float32,50,H33O17,-35350.4726562,-707.009453125,11.31582426,3.96961816595,-1,-1,,ok,
106,off,medium,off,cuda,float32,44,H29O15,-31189.9042969,-708.861461293,7.78061464971,3.35480052874,-1,-1,,ok,
107,off,medium,off,cuda,float32,38,H25O13,-27028.0351562,-711.264083059,6.893527933,3.33563558687,-1,-1,,ok,
108,off,medium,off,cuda,float32,50,H33O17,-35351.6523438,-707.033046875,6.64714894053,3.37051053368,-1,-1,,ok,
109,off,medium,off,cuda,float32,36,H24O12,-24966.5605469,-693.515570747,7.76212335235,3.7342384512,0,0,,ok,
110,off,medium,off,cuda,float32,22,H15O7,-14579.8359375,-662.719815341,5.60405257968,3.23162583105,1,1,,ok,
111,off,medium,off,cuda,float32,28,H19O9,-18740.0839844,-669.288713728,7.29750438006,3.44680116459,1,1,,ok,
112,off,medium,off,cuda,float32,34,H23O11,-22901.7167969,-673.57990579,6.61803055686,3.87455582098,1,1,,ok,
113,off,medium,off,cuda,float32,37,H25O12,-24982.0097656,-675.189453125,5.47564324606,3.37125030224,1,1,,ok,
114,off,medium,off,cuda,float32,37,H25O12,-24983.2578125,-675.223184122,9.39768055895,4.17149773246,1,1,,ok,
115,off,medium,off,cuda,float32,43,H29O14,-29142.9667969,-677.743413881,9.6836486275,3.95292170683,1,1,,ok,
116,off,medium,off,cuda,float32,49,H33O16,-33302.4726562,-679.642299107,7.5423418461,3.60613604091,1,1,,ok,
117,off,medium,off,cuda,float32,40,H27O13,-27058.09375,-676.45234375,11.7805348156,4.6646687348,1,1,,ok,
118,off,medium,off,cuda,float32,57,H38O19,-39527.6171875,-693.466968202,8.02757057532,3.52709614001,0,0,,ok,
119,off,medium,off,cuda,float32,37,H25O12,-24980.1679688,-675.139674831,8.97575720639,3.57482436284,1,1,,ok,
120,off,medium,off,cuda,float32,25,H17O8,-16659.5332031,-666.381328125,6.23846746626,2.86920454233,1,1,,ok,
121,off,medium,off,cuda,float32,31,H21O10,-20820.1035156,-671.61624244,9.05141505909,3.7894526207,1,1,,ok,
122,off,medium,off,cuda,float32,28,H19O9,-18739.9355469,-669.283412388,9.92411818773,3.91131359225,1,1,,ok,
123,off,medium,off,cuda,float32,25,H17O8,-16660.1464844,-666.405859375,8.01615335447,3.67256370164,1,1,,ok,
124,off,medium,off,cuda,float32,25,H17O8,-16661.265625,-666.450625,6.60329874856,2.89404797166,1,1,,ok,
125,off,medium,off,cuda,float32,28,H19O9,-18740.1660156,-669.291643415,7.59239024965,3.56295051532,1,1,,ok,
