r_angstrom,methanol C - all O
4.875,1.0510905621466407
4.925000000000001,0.9746202901999056
4.975,0.8997934832603595
5.025,0.9291407359042156
5.075000000000001,1.0010902107690263
5.125,0.946512059763442
5.175000000000001,0.9405395674401681
5.225,0.9717007327785943
5.275,0.9672771271808628
5.325000000000001,0.9344976168746113
5.375,0.9749034673212906
5.425000000000001,0.9539807766437411
5.475,0.9813323445014596
5.525,0.9821827934819819
5.575000000000001,0.9780553080835963
5.625,0.9776826534122155
5.675000000000001,0.9938117983193687
5.725,0.9592688719471405
5.775,0.9355881689931618
5.825000000000001,1.0108530724713192
5.875,0.9626665210464296
5.925000000000001,0.9838042528713188
5.975,0.9674078023761958
6.025,0.9957080081169002
6.075000000000001,0.9761582330839206
6.125,0.9571115067272831
6.175000000000001,0.9822773570158573
6.225,0.9903794528830531
6.275,0.9640734886583536
6.325000000000001,1.0426642699009032
6.375,1.011720887070366
6.425000000000001,1.0270489456006269
6.475,0.9906541834645601
6.525,0.9846208739111847
6.575000000000001,1.0234219112032583
6.625,1.0141375027792205
6.675000000000001,0.9990013344649191
6.725,0.9789348890221914
6.775,0.9839984117868565
6.825000000000001,0.9990358715643044
6.875,1.0053444801701996
6.925000000000001,1.033097194698429
6.975,0.9681562892772965
7.025,0.9936383792913837
7.075000000000001,1.0284176479367841
7.125,0.9841235734225962
7.175000000000001,1.051423026182304
7.225,1.007261912102758
7.275,1.0047149742099077
7.325000000000001,0.9577517387512995
7.375,0.9946225327789979
7.425000000000001,1.0455380744435854
7.475,0.9852397672020333
7.525,1.0047895144167358
7.575000000000001,1.0128425891237853
7.625,1.0001150507216496
7.675000000000001,1.0053225649077127
7.725,0.9898561994261089
7.775,1.0313434095414
7.825000000000001,0.9773604948385912
7.875,1.029801659547613
7.925000000000001,1.0040488192604256
7.975,1.0008609228387548
8.025,0.9999858462351479
8.075,0.9894668874041281
8.125,1.0152106650073178
8.175,1.0050576843885297
8.225000000000001,1.000357052491869
8.275,0.9783042247047702
8.325,0.9910750109419634
8.375,1.0000761504625828
8.425,0.9894994053942199
8.475000000000001,1.04915618969652
8.525,1.0172210998125604
8.575,1.0025586737472494
8.625,1.0149822736290217
8.675,1.0068765713139853
8.725000000000001,1.0098404958126106
8.775,0.9979784652880574
8.825,0.9962593240847768
8.875,1.0009414474316898
8.925,0.9893840562426159
8.975000000000001,1.0190494698281463
9.025,0.9843948841386985
9.075,1.0281671888068276
9.125,0.9972640963291647
9.175,1.0111822214853032
9.225000000000001,0.9841570282082637
9.275,1.0417561543121285
9.325,0.9703526153190015
9.375,0.963417331924492
9.425,0.9914318524213914
9.475000000000001,1.0078587684760703
9.525,0.9959926705423324
9.575000000000001,0.996334584663157
9.625,0.9763683861301988
9.675,1.0022449382485463
9.725000000000001,0.9862989951378188
9.775,1.0095757117924706
9.825000000000001,0.9950082020298652
9.875,1.0316714184162186
9.925,0.9919846721459501
9.975000000000001,0.9985224041349429
