# cluster_id frame_index natoms formula center_formula selected_molecule_ids
086 86 110 H76N9O25 H3N 1,7,8,9,11,14,15,18,19,20,21,22,27,28,34,36,38,42,44,58,59,70,71,74,75,76,77,80
087 87 94 H64N6O24 H3N 7,8,9,10,13,15,16,17,18,19,20,26,31,33,39,41,48,55,69,70,73,75,76,80
088 88 86 H58N4O24 H3N 7,8,9,10,11,14,16,19,20,21,31,33,39,42,43,44,49,56,72,77,79,80,84
089 89 103 H70N6O27 H3N 6,7,8,10,13,15,17,18,19,23,28,30,38,39,44,49,50,61,65,68,69,70,73
090 90 91 H62N6O23 H3N 7,8,9,10,11,14,18,19,20,26,32,34,40,41,42,48,64,65,69,71,72,73,76
091 91 80 H54N4O22 H3N 7,8,9,10,11,14,15,20,21,22,28,33,35,38,40,43,44,56,70,74,76,81
092 92 80 H54N4O22 H3N 7,8,9,10,11,12,13,16,21,22,23,28,33,36,39,40,65,66,71,75
093 93 81 H54N2O25 H3N 7,8,9,10,11,12,13,20,21,23,27,28,32,34,39,41,42,56,59,73,78
094 94 101 H68N4O29 H6NO2 6,7,8,9,11,15,16,17,19,20,21,22,27,28,29,33,36,37,38,43,45,64,66,72,75
095 95 87 H58N2O27 H3N 7,8,9,10,11,14,15,20,21,24,25,28,34,37,42,44,45,46,47,68,75,80
096 96 91 H61N3O27 H3N 7,8,9,10,11,12,14,15,20,21,24,25,27,33,36,39,41,43,44,45,46,73,78
097 97 87 H58N3O26 H7NO2 6,7,8,9,10,11,12,15,21,22,25,26,31,32,34,37,39,42,49,55,66,68
098 98 86 H58N3O25 H3N 7,8,9,10,11,12,15,16,21,22,23,26,27,29,30,34,37,40,42,44,46,63,74,75,82,87
099 99 91 H62N5O24 H3N 7,8,9,10,11,12,13,16,17,22,23,24,27,28,30,31,36,39,42,44,48,63,67,78,79,84,86,87,91
100 100 88 H60N5O23 H3N 7,8,9,10,11,12,13,16,17,20,22,23,26,29,33,36,39,45,52,61,72,73,78,80,81,83
