frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
113,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24960.6367188,-674.611803209,6.00655535986,3.55826925867,1,1,0.999999955297,ok,
114,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24961.6445312,-674.639041385,9.73495317081,4.25008707346,1,1,0.99999990873,ok,
115,polar1m,polar-1-m,polar,cuda,float32,43,H29O14,-29117.9804688,-677.162336483,9.69318291129,4.26221575041,1,1,1.00000001863,ok,
116,polar1m,polar-1-m,polar,cuda,float32,49,H33O16,-33274.09375,-679.063137755,6.89371140694,3.59033956087,1,1,0.999999981374,ok,
117,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27032.640625,-675.816015625,12.0640118218,4.58390714205,1,1,1.00000002235,ok,
118,polar1m,polar-1-m,polar,cuda,float32,57,H38O19,-39498.2460938,-692.951685855,8.34770260106,3.45631874697,0,0,9.31322574615e-09,ok,
119,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24953.0292969,-674.406197213,9.13347394793,3.63654643805,1,1,1.00000000745,ok,
120,polar1m,polar-1-m,polar,cuda,float32,25,H17O8,-16635.9785156,-665.439140625,6.84380192431,3.19473114515,1,1,1.00000013411,ok,
121,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20793.9589844,-670.772870464,9.33120275704,3.81823050732,1,1,0.999999985099,ok,
122,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18714.5898438,-668.378208705,9.55061863579,4.27172496965,1,1,0.999999843538,ok,
123,polar1m,polar-1-m,polar,cuda,float32,25,H17O8,-16636.1367188,-665.44546875,8.26165430125,3.93500033695,1,1,0.999999977648,ok,
124,polar1m,polar-1-m,polar,cuda,float32,25,H17O8,-16636.9765625,-665.4790625,6.65051442308,2.72139416237,1,1,0.99999981001,ok,
125,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18714.7714844,-668.384695871,7.70328459191,3.7810033467,1,1,1.00000005588,ok,
126,polar1m,polar-1-m,polar,cuda,float32,22,H15O7,-14556.9501953,-661.679554332,5.82417352753,2.62323755033,1,1,0.999999836087,ok,
127,polar1m,polar-1-m,polar,cuda,float32,25,H17O8,-16635.1953125,-665.4078125,6.47792767522,2.80273276867,1,1,0.999999903142,ok,
128,polar1m,polar-1-m,polar,cuda,float32,25,H17O8,-16634.8964844,-665.395859375,7.41111524707,3.50715860165,1,1,1.00000015274,ok,
129,polar1m,polar-1-m,polar,cuda,float32,22,H15O7,-14557.5,-661.704545455,5.88368315911,3.03776042698,1,1,1.00000000745,ok,
130,polar1m,polar-1-m,polar,cuda,float32,24,H16O8,-16626.359375,-692.764973958,10.2944774794,4.87225589914,0,0,2.98023223877e-08,ok,
131,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22866.2929688,-692.91796875,12.419610743,4.15449004667,0,0,1.86264514923e-08,ok,
132,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29106.4003906,-693.00953311,14.799041048,4.6831893116,0,0,8.19563865662e-08,ok,
133,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27028.1796875,-693.030248397,13.0900489025,4.64388379151,0,0,-6.33299350739e-08,ok,
134,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27027.5097656,-693.013070913,9.82282527749,3.80234568346,0,0,-7.82310962677e-08,ok,
135,polar1m,polar-1-m,polar,cuda,float32,27,H18O9,-18709.1582031,-692.931785301,10.8894762393,4.8717621866,0,0,-3.72529029846e-09,ok,
136,polar1m,polar-1-m,polar,cuda,float32,24,H16O8,-16629.8066406,-692.908610026,12.2086919024,4.95652270462,0,0,3.53902578354e-08,ok,
137,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20797.5703125,-670.889364919,11.7455687354,4.82483554786,1,1,1.0000000149,ok,
138,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18717.5683594,-668.484584263,10.4379336319,4.62061213301,1,1,1,ok,
139,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18719.359375,-668.548549107,7.42000066818,3.66390892657,1,1,1.00000005774,ok,
140,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29107.8671875,-693.044456845,10.3967595807,4.3913569454,0,0,7.63684511185e-08,ok,
141,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24949.2734375,-693.035373264,6.98377020064,3.38796980234,0,0,-4.28408384323e-08,ok,
142,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24947.2246094,-692.978461372,6.62019079412,3.52020679508,0,0,1.49011611938e-08,ok,
143,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27028.765625,-693.045272436,7.50264162484,3.54909714034,0,0,1.26659870148e-07,ok,
144,polar1m,polar-1-m,polar,cuda,float32,38,H25O13,-27013.9980469,-710.894685444,20.8455409603,6.42052327382,-1,-1,-0.999999947846,ok,
